Name,Guess_1,Guess_2
,69,1
,21,9
,7,100
,27,30
,20,100
,44,0
,34,0
,42,51
,50,0
,28,28
,11,7
,37,0
,21,33
,63,19
,66,66
,35,0
,23,0
,57,1
,13,0
,99,33
,56,36
,64,24
,42,18
,17,0
,57,2
,53,1
,10,0
,17,0
,39,0
,1,1
,21,1
,25,25
,22,1
,30,1
,24,14
,31,5
,28,1
,50,50
,42,19
,35,0
,60,45
,33,33
,39,19
,19,19
,44,1
,67,9
,18,9
,77,10
,47,19
,33,10
,22,22
,35,20
,19,0
,52,30
,66,33
,20,100
,28,1
,77,52
,82,70
,15,1
,37,0
,26,3
,67,0
,23,2
,56,29
,21,29
,15,5
,18,10
,5,0
,15,0
,20,1
,23,0
,37,25
,43,29
,43,3
,63,3
,66,0
,66,23
,50,86
,20,35
,35,1
,17,10
,51,2
,62,10
,20,5
,15,1
,39,20
,22,0
,15,15
,20,5
,20,0
,63,60
,7,39
,20,2
,20,10
,50,0
,15,1
,5,1
,40,26
,55,2
,42,1
,44,1
,33,0
,22,15
,35,16
,10,5
,23,23
,47,29
,12,1
,5,3
,11,0
,22,40
,23,20
,16,24
,33,15
,5,10
,22,22
,61,38
,37,0
,50,0
,9.75,5.25
,29,0
,29.6,0
,30,22
,25,13
,40,1
,12,2
,17,0
,10,1
,18,3
,26,0
,23,0
,35,15
,31,13
,33,33
,12,0
,89,3
,32,66
,19,19
,67,0
,12,3
,25,20
,30,0
,33,0
,69,0
,33,33
,50,50
,88,88
,35,43
,1,100
,45,15
,16,0
,42,1
,46,38
,79,0
,15,0
,49,12
,26,4
,77,7
,26,4
,44,44
,33,33
,12,0
,56,44
,50,6
,20,1
,22,0
,58,14
,33,20
,66,22
,11,1
,48,0
,0,20
,41,22
,36,40
,44,8
,22,1
,15,15
,0,0
,33,32
,32,22
,0,0
,59,24
,100,17
,65,55
,0,10
,33,22
,49,60
,44,0
,66,10
